Like,ml2,Like1
"As globe gallops into vaccine trials, insurers remain unfazed",12 Oct 2020,"By Noor Zainab Hussain, Carolyn Cohn and Ludwig Burger LONDON/FRANKFURT (Reuters) - The world is racing towards a vaccine in record time, stirring public concerns about safety to..."
"U.S., AstraZeneca strike deal for COVID-19 antibody treatment touted by Trump",10 Oct 2020," (Reuters) - The U.S. government has awarded $486 million (£372.7 million) to AstraZeneca Plc (L:AZN) to develop and secure supplies of up to 100,000 doses of COVID-19 antibody..."
UPDATE 1-UK Stocks-Factors to watch on Oct 8,08 Oct 2020,"Oct 8 - Britain's FTSE 100 (.FTSE) index is seen opening 13 points higher at 5,959 on Thursday, according to financial bookmakers, with futures up 0.29% ahead of cash market..."
AstraZeneca could profit from COVID-19 vaccine as early as July - FT,07 Oct 2020," (Reuters) - AstraZeneca could start profiting from its COVID-19 vaccine as soon as July next year, the Financial Times reported on Wednesday, citing a memo showing the British..."
EU reviewing Pfizer-BioNTech COVID-19 vaccine in real time,06 Oct 2020,"(Reuters) - The European health regulator has started a real-time review of the COVID-19 vaccine being developed by  Pfizer  (N:PFE) and BioNTech (F:22UAy), days after launching a..."
PM Johnson plays down technical failure of COVID-19 testing data system,05 Oct 2020," LONDON (Reuters) - British Prime Minister Boris Johnson sought on Monday to play down a failure in England's COVID-19 testing data system that delayed 15,841 results, saying the..."
Nvidia building UK supercomputer to boost COVID-19 research,05 Oct 2020,"LONDON (Reuters) - U.S. chip giant Nvidia (O:NVDA) said on Monday it is building Britain's most powerful supercomputer, which will use artificial intelligence to help researchers..."
"AstraZeneca's Japanese COVID-19 vaccine trial back up, U.S. still paused",02 Oct 2020," (Reuters) - Clinical trials of AstraZeneca (L:AZN) and Oxford University's experimental COVID-19 vaccine have resumed in Japan, almost a month after being put on hold due to an..."
EU regulator launches real-time review of AstraZeneca's COVID-19 vaccine,01 Oct 2020,"(Reuters) - The European health regulator said on Thursday it had started a rolling review of the experimental COVID-19 vaccine from AstraZeneca (L:AZN) and Oxford University, in a..."
Exclusive: FDA widens U.S. safety inquiry into AstraZeneca coronavirus vaccine - sources,01 Oct 2020, By Marisa Taylor and Dan Levine WASHINGTON (Reuters) - The U.S. Food and Drug Administration has broadened its investigation of a serious illness in AstraZeneca Plc's (L:AZN)...
UPDATE 1-UK Stocks-Factors to watch on Oct. 1,01 Oct 2020,"Oct 1 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening 25 points higher at 5,891 on Thursday, according to financial bookmakers, with futures up 0.47% ahead of cash..."
Exclusive: World Bank seeks board approval for $12 billion coronavirus vaccine financing plan,29 Sept 2020, By David Lawder WASHINGTON (Reuters) - World Bank President David Malpass said on Tuesday he is seeking board approval for a $12 billion coronavirus vaccine financing plan to help...
Canada has signed deal for AstraZeneca vaccine candidate - PM,25 Sept 2020," OTTAWA (Reuters) - Canada has signed a deal with Cambridge-based AstraZeneca (L:AZN) to buy up to 20 million doses of its COVID-19 vaccine candidate, Prime Minister Justin Trudeau..."
"FTSE 100 pares early gains, set for second straight weekly loss",25 Sept 2020," By Shashank Nayar (Reuters) - London's FTSE 100 traded flat on Friday as a surge in COVID-19 cases offset support from a tech-driven rally on Wall Street, but the blue-chip index..."
UPDATE 1-UK Stocks-Factors to watch on Sept. 25,25 Sept 2020,"Sept 25 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening 38 points higher at 5,861 on Friday, according to financial bookmakers, with futures (FFIc1) up 0.4% ahead of..."
Exclusive: AstraZeneca gets partial immunity in low-cost EU vaccine deal,25 Sept 2020,"By Francesco Guarascio BRUSSELS (Reuters) - European governments will pay claims above an agreed limit against AstraZeneca over side-effects from its potential COVID-19 vaccine,..."
AstraZeneca still waiting for FDA go-ahead to resume U.S. trial,24 Sept 2020, By Ludwig Burger and Caroline Copley FRANKFURT (Reuters) - AstraZeneca (L:AZN) is still waiting for the U.S. drug regulator to approve the restart of the clinical trial of its...
UPDATE 1-UK Stocks-Factors to watch on Sept. 24,24 Sept 2020,"Sept 24 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening 50 points lower at 5,849 on Thursday, according to financial bookmakers, with futures down 1.21% ahead of cash..."
COVID-19 vaccine makers see EU shield against side-effect claims,22 Sept 2020,"By Francesco Guarascio BRUSSELS (Reuters) - Vaccine makers will be indemnified in Europe if their COVID-19 shots cause unexpected side-effects, an industry official said on..."
COVID-19 vaccine verdicts loom as next big market risk,22 Sept 2020, By Lewis Krauskopf NEW YORK (Reuters) - Optimism that vaccines are on the way to end the coronavirus pandemic has been a major factor in this year’s U.S. stock resurgence. That...
UPDATE 1-UK Stocks-Factors to watch on Sept 21,21 Sept 2020,"Sept 21 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening 31 points lower on Monday, according to financial bookmakers, with futures (FFIc1) down 1.2%, ahead of cash..."
AstraZeneca-Merck's Lynparza wins EU panel recommendation for cancer treatments,21 Sept 2020,"(Reuters) - A European regulatory panel has recommended the approval of Lynparza, a blockbuster cancer treatment developed by AstraZeneca Plc (L:AZN) and  Merck & Co  Inc (N:MRK),..."
AstraZeneca says COVID-19 vaccine trial in U.S. still on hold,20 Sept 2020, (Reuters) - AstraZeneca Plc (L:AZN) said on Saturday that its COVID-19 vaccine trial in the United States is still on hold.  AstraZeneca on Saturday published a document https://...
AstraZeneca says Tagrisso shown to slow lung cancer spreading to brain,19 Sept 2020, FRANKFURT (Reuters) - AstraZeneca's (L:AZN) top-selling drug Tagrisso has been shown to slow the spread of a certain type of lung cancer to the brain when diagnosed at an early...
AstraZeneca's trial illnesses may not be due to COVID-19 shot - Oxford University,16 Sept 2020," (Reuters) - The adverse events that led to a pause in trials evaluating AstraZeneca Plc's (L:AZN) COVID-19 vaccine candidate may not have been associated with the vaccine itself,..."
UPDATE 1-UK Stocks-Factors to watch on Sept 16,16 Sept 2020,"Sept 16 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening 16 points lower at 6,089 on Wednesday, according to financial bookmakers, with futures (FFIc1) down 0.7% ahead..."
"In coronavirus vaccine race, China inoculates thousands before trials are completed",16 Sept 2020, By David Stanway and Miyoung Kim SHANGHAI/SINGAPORE (Reuters) - China is inoculating tens of thousands of its citizens with experimental coronavirus vaccines and attracting...
"Germany grants BioNTech, CureVac $745 million to speed up COVID-19 vaccine work",15 Sept 2020, By Caroline Copley and Thomas Seythal BERLIN (Reuters) - Germany awarded $745 million (577.79 million pounds) in funding to biotech firms BioNTech (O:BNTX) (F:22UAy) and CureVac...
Asian stocks gain as upbeat China data lifts mood,15 Sept 2020," By Anshuman Daga SINGAPORE (Reuters) - Asian equities advanced on Tuesday and the dollar slipped, with investor sentiment supported by Chinese data and optimism about COVID-19..."
UPDATE 1-UK Stocks-Factors to watch on Sept. 15,15 Sept 2020,"Sept 15 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening six points higher at 6,032 on Tuesday, according to financial bookmakers, with futures up 0.11% ahead of cash..."
Exclusive: AstraZeneca COVID-19 vaccine trial in U.S. on hold until at least midweek - sources,14 Sept 2020, By Julie Steenhuysen and Marisa Taylor CHICAGO (Reuters) - AstraZeneca's (L:AZN) COVID-19 vaccine trial remains on hold in the United States pending a U.S. investigation into a...
Dow Rallies on Positive Vaccine News; Tech Jumps,14 Sept 2020,"By Yasin Ebrahim Investing.com – The Dow rallied Monday, led by tech as deal-making activity and positive vaccine news prompted bullish bets on stocks. The Dow Jones Industrial..."
FTSE 100 closes lower on weak oil majors; Midcaps boosted by G4S,14 Sept 2020," By Shashank Nayar and Ambar Warrick (Reuters) - London's blue-chip index fell on Monday as the prospect of waning demand weighed on heavyweight energy stocks, while security firm ..."
Regeneron's antibody drug added to UK Recovery trial of COVID treatments,14 Sept 2020,By Kate Kelland LONDON (Reuters) - The world's largest randomised trial of potential medicines for COVID-19 is to add Regeneron's (O:REGN) experimental antiviral antibody cocktail...
"AstraZeneca's UK COVID-19 vaccine trials restarted, EU medical register shows",14 Sept 2020,"LONDON (Reuters) - AstraZeneca's (L:AZN) British clinical trials of its COVID-19 vaccine, one of the most advanced in development, resumed on Monday, according to the European..."
AstraZeneca shares gain as coronavirus vaccine trials resume,14 Sept 2020, (Reuters) - Shares of AstraZeneca (L:AZN) inched higher in early trade on Monday as the optimism spurred by the British drugmaker's resumption of clinical trials for its COVID-19...
UPDATE 1-UK Stocks-Factors to watch on Sept. 14,14 Sept 2020,"Sept 14 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening 18 points higher at 6,050 on Monday, according to financial bookmakers, with futures up 0.29% ahead of cash..."
AstraZeneca resumes UK trials of COVID-19 vaccine halted by patient illness,13 Sept 2020," By Michael Holden LONDON (Reuters) - AstraZeneca (L:AZN) has resumed British clinical trials of its COVID-19 vaccine, one of the most advanced in development, after getting the..."
UPDATE 1-UK Stocks-Factors to watch on Sept. 11,11 Sept 2020,"Sept 11 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening 17 points lower at 5,986 on Friday, according to financial bookmakers, with futures down 0.29% ahead of cash..."
U.S. weekly jobless claims stuck at higher levels,10 Sept 2020," WASHINGTON (Reuters) - The number of Americans filing new claims for unemployment benefits hovered at high levels last week, strengthening views that the labor market was settling..."
AstraZeneca expects COVID vaccine result by year-end if trials resume,10 Sept 2020," By John Miller and Ludwig Burger ZURICH/FRANKFURT (Reuters) - AstraZeneca should still know by year-end whether its experimental vaccine protects people against coronavirus, as..."
UPDATE 1-UK Stocks-Factors to watch on Sept 10,10 Sept 2020,"Sept 10 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening 17 points lower at 5,996 on Thursday, according to financial bookmakers, with futures down 0.5% ahead of cash..."
Equities rebound after three-session Nasdaq sell-off,09 Sept 2020, By David Randall NEW YORK (Reuters) - Global equity benchmarks rebounded and the dollar dipped on Wednesday after a sharp sell-off in U.S. tech stocks had erased more than 10%...
FTSE 100 helped by weak pound; New COVID-19 restrictions hit consumer stocks,09 Sept 2020," By Shashank Nayar and Ambar Warrick (Reuters) - London's blue-chip index ended higher on Wednesday as weakness in the pound looked to benefit major exporters, while the mid-cap..."
UK science adviser: other vaccine trials also likely to be paused,09 Sept 2020," LONDON (Reuters) - Other COVID-19 vaccine trials are likely to be paused at some point the British government's Chief Scientific Adviser Patrick Vallance, said, describing a pause..."
"Top 5 Things to Know in the Market on Wednesday, September 10th",09 Sept 2020,"By Geoffrey Smith  Investing.com -- U.S. stocks are set for a bounce at the opening after the worst one-day losses in months, but Lululemon and Slack face early pressure after..."
European shares inch higher; AstraZeneca tumbles on halting vaccine trials,09 Sept 2020,"(Reuters) - European shares steadied on Wednesday after hefty declines in the previous session, although sentiment was rattled by AstraZeneca suspending global trials for its..."
"Pause in AstraZeneca vaccine trial not necessarily a setback, says health minister",09 Sept 2020, LONDON (Reuters) - Britain's Health Secretary Matt Hancock said on Wednesday that AstraZeneca's decision to pause its coronavirus vaccine trials was a challenge but would not...
European Stocks Seen Lower; U.S. Tech Rout Weighs,09 Sept 2020,"By Peter Nurse  Investing.com - European stock markets are seen opening largely lower Wednesday, weighed by the rout of technology shares on Wall Street as well as concerns about..."
UK Stocks-Factors to watch on Sept 9,09 Sept 2020,"Sept 9 (Reuters) - Britain's FTSE 100 .FTSE index is seen opening 29 points lower at 5,902 on Wednesday, according to financial bookmakers. AstraZeneca: AstraZeneca Plc AZN.L on..."
"U.S., European COVID vaccine developers make pledge to uphold testing rigour",08 Sept 2020,By Ludwig Burger and Patricia Weiss FRANKFURT (Reuters) - Nine leading U.S. and European vaccine developers pledged on Tuesday to uphold the scientific standards that their...
UPDATE 1-UK Stocks-Factors to watch on Sept 8,08 Sept 2020,"Sept 8 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening 5 points higher at 5,942 on Tuesday, according to financial bookmakers, with futures (FFIc1) seen up 0.4% ahead..."
Australia expects to receive AstraZeneca's COVID-19 vaccine within months,07 Sept 2020,"By Colin Packham SYDNEY (Reuters) - Australia expects to receive its first batches of a potential COVID-19 vaccine in January, Prime Minister Scott Morrison said on Monday, as the..."
"Australia's CSL to manufacture two COVID-19 vaccines, shares up",07 Sept 2020," By Rashmi Ashok (Reuters) - Australian biotech giant CSL Ltd (AX:CSL) said on Monday it would manufacture two different COVID-19 vaccine candidates, with the earliest doses due to..."
Sanofi France chief sees coronavirus vaccine priced below 10 euros,06 Sept 2020, PARIS (Reuters) - A coronavirus vaccine that Sanofi (PA:SASY) is developing with Britain's GlaxoSmithKline (L:GSK) is likely to be priced at less than 10 euros ($11.80) per shot...
Sanofi France chief: future COVID-19 vaccine seen below 10 euros,05 Sept 2020," PARIS (Reuters) - Sanofi's (PA:SAY) chief in France, Olivier Bogillot, said on Saturday that its future COVID-19 vaccine was likely to be priced below 10 euros per shot. ""The..."
COVID-19 vaccine developers prepare joint safety pledge - WSJ,05 Sept 2020," (Reuters) - Several COVID-19 vaccine developers, including  Pfizer  Inc (N:PFE), Johnson & Johnson (N:JNJ) and  Moderna  Inc (O:MRNA), plan to issue a public pledge not to seek..."
Astrazeneca to begin Phase 1/2 clinical trials of coronavirus vaccine in Japan,04 Sept 2020,"TOKYO (Reuters) -  Astrazeneca  (L:AZN) said on Friday it is beginning Phase 1/2 clinical trials in Japan of its coronavirus vaccine candidate. Trials of the vaccine, known as..."
AstraZeneca signs deal with Albany Molecular to produce COVID-19 vaccine candidate,03 Sept 2020, (Reuters) - AstraZeneca Plc (L:AZN) on Thursday signed a manufacturing deal with privately held Albany Molecular Research Inc to produce millions of doses of the British...
FTSE 100 falls to 15-week low after best August since 2014,01 Sept 2020," By Shashank Nayar and Shreyashi Sanyal (Reuters) - London's FTSE 100 fell to its lowest level in more than three months on Tuesday, after the index had notched its strongest..."
Factbox: AstraZeneca's potential coronavirus vaccine,01 Sept 2020,"(Reuters) - AstraZeneca (L:AZN) has expanded its agreement with  Oxford Biomedica  (L:OXB) to mass-produce its COVID-19 potential vaccine, the cell therapy firm said on..."
"Thanks for the COVID vaccine, but can you say that in Estonian?",01 Sept 2020, By Francesco Guarascio BRUSSELS (Reuters) - It is hard enough developing a vaccine in record time to halt a global pandemic. But what if you need to print the instructions with...
UPDATE 1-UK Stocks-Factors to watch on Sept 1,01 Sept 2020,"Sept 1 (Reuters) - Britain's FTSE 100 index is seen opening 15 points lower at 5,949 on Tuesday, according to financial bookmakers, with futures FFIc1 seen down 0.2% ahead of cash..."
AstraZeneca's COVID-19 vaccine candidate begins late-stage U.S. study,31 Aug 2020,"(Reuters) - AstraZeneca Plc (L:AZN) said on Monday it has begun enrolling adults for a U.S.-funded, 30,000-subject late-stage study of its high profile COVID-19 vaccine..."
EU pays 336 million euros to secure AstraZeneca's potential COVID-19 vaccine,27 Aug 2020, By Francesco Guarascio BRUSSELS (Reuters) - The European Commission has made a 336 million euro (300.95 million pounds) downpayment to British drug maker AstraZeneca (L:AZN) to...
EU signs contract with AstraZeneca on supply of potential COVID-19 vaccine,27 Aug 2020,BRUSSELS (Reuters) - The European Commission said on Thursday it had signed a contract on behalf of EU states with British drugmaker AstraZeneca (L:AZN) for the supply of at least...
AstraZeneca starts trial of COVID-19 antibody treatment,25 Aug 2020," By Pushkala Aripaka and Aakash B (Reuters) - British drugmaker AstraZeneca (L:AZN) has begun testing an antibody-based cocktail for the prevention and treatment of COVID-19,..."
FTSE 100 gains on U.S.-China trade optimism,25 Aug 2020, By Sagarika Jaisinghani (Reuters) - The FTSE 100 rose for a second straight session on Tuesday as a pledge by Washington and Beijing to stand by their Phase-1 trade pact lifted...
UPDATE 1-UK Stocks-Factors to watch on Aug. 25,25 Aug 2020,"Aug 25 (Reuters) - Britain's FTSE 100 index is seen opening 16 points higher on Tuesday, according to financial bookmakers, with futures (FFIc1) up 0.5% ahead of cash market..."
FTSE 100 tracks Asia gains on virus treatment hopes; AstraZeneca jumps,24 Aug 2020," By Sagarika Jaisinghani (Reuters) - The FTSE 100 jumped on Monday, tracking Asian markets as U.S. health regulators authorised a COVID-19 treatment over the weekend, while..."
"Stronger pound weighs on exporter-heavy FTSE 100, midcaps shine",21 Aug 2020," By Muvija M (Reuters) - The UK blue-chip index dipped on Friday as exporters weakened due to a stronger pound, while the more domestically-focussed midcap bourse eked out slim..."
Exclusive: Top FDA official says would resign if agency rubber-stamps an unproven COVID-19 vaccine,21 Aug 2020, By Dan Levine and Marisa Taylor (Reuters) - A top U.S. health regulator who will help decide the fate of a coronavirus vaccine has vowed to resign if the Trump administration...
Australia locks in coronavirus vaccine deal as new cases ease,19 Aug 2020," By Renju Jose SYDNEY (Reuters) - A fresh outbreak of infections in Australia's coronavirus hot zone of Victoria appeared to have eased on Wednesday, as the country signed a deal..."
Australian COVID-19 infections set to hit one-month low,18 Aug 2020," By Renju Jose and Colin Packham SYDNEY (Reuters) - Australia was on track on Tuesday to record its lowest one-day rise in new COVID-19 infections in a month, buoying hopes that a..."
Argentine firm behind AstraZeneca COVID vaccine Latam production sees April/May launch,14 Aug 2020, By Maximilian Heath BUENOS AIRES (Reuters) - The Argentine biotech firm working on the production of 400 million doses of an AstraZeneca COVID-19 vaccine for Latin America said on...
AstraZeneca set to start making 400 million COVID-19 vaccines for Latam early in 2021,13 Aug 2020," By Raul Cortes and Daina Beth Solomon MEXICO CITY (Reuters) - Production of 400 million doses of a COVID-19 vaccine for Latin America could begin early next year, an executive for..."
Should you be investing money in pharma stocks?,13 Aug 2020,"The healthcare and pharmaceutical industry has been growing steadily for years. The UK in particular is home to pharma giants like GlaxoSmithKline and  Astrazeneca  (LON:AZN), with..."
Ex-dividend trading trips FTSE 100; National Express tumbles,13 Aug 2020," By Sagarika Jaisinghani (Reuters) - The FTSE 100 fell for the first time in five sessions on Thursday as a clutch of blue-chip firms traded ex-dividend, while  National Express ..."
UPDATE 1-UK Stocks-Factors to watch on Aug. 13,13 Aug 2020,"Aug 13 (Reuters) - Britain's FTSE 100 index is seen opening 47 points lower at 6,233 on Thursday, according to financial bookmakers, with futures (FFIc1) down 0.9% ahead of cash..."
UPDATE 1-UK Stocks-Factors to watch on Aug. 10,10 Aug 2020,"Aug 10 (Reuters) - Britain's FTSE 100 index is seen opening 29 points higher at 6,061 on Monday, according to financial bookmakers, with futures (FFIc1) up 1% ahead of cash markets..."
UPDATE 1-UK Stocks-Factors to watch on Aug. 7,07 Aug 2020,"Aug 7 (Reuters) - Britain's FTSE 100 index is seen opening 21 points lower at 6,006 on Friday, according to financial bookmakers, with futures (FFIc1) seen almost flat ahead of..."
Japan to agree supply deal soon for AstraZeneca's coronavirus vaccine - Kyodo,07 Aug 2020," TOKYO (Reuters) - The Japanese government will soon agree a supply deal for more than 100 million doses of a coronavirus vaccine being developed by AstraZeneca Plc (L:AZN), Kyodo..."
India's Wockhardt strikes deal to supply COVID-19 vaccines to UK,03 Aug 2020," BENGALURU (Reuters) - Indian drugmaker  Wockhardt  Ltd (NS:WCKH) will supply millions of doses of multiple COVID-19 vaccines, including that being developed by AstraZeneca (L:AZN)..."
"Pfizer, BioNTech to supply 120 million doses of coronavirus vaccine to Japan",31 Jul 2020," (Reuters) -  Pfizer  Inc (N:PFE) and BioNTech SE (O:BNTX) have agreed to supply Japan with 120 million doses of their experimental coronavirus vaccine in the first half of 2021,..."
Day Ahead: 3 Things to Watch for July 31,30 Jul 2020,By Liz Moyer Investing.com -- Stocks were mixed on Thursday as a rally in big tech could not overcome bleak economic data and fears that the recovery had stalled because of rising...
U.K. shares lower at close of trade; Investing.com United Kingdom 100 down 2.35%,30 Jul 2020,"Investing.com – U.K. equities were lower at the close on Thursday, as losses in the Banking, Oil & Gas Producers and Life Insurance/Assurance sectors propelled shares lower. At..."
"Lloyds, Stan Chart weigh on FTSE 100 amid global stocks rout; AstraZeneca gains",30 Jul 2020, By Sagarika Jaisinghani and Susan Mathew (Reuters) - Gloomy quarterly results from banks and a clutch of other firms saw the FTSE 100 post its worst session in five weeks on...
AstraZeneca to be exempt from coronavirus vaccine liability claims in most countries,30 Jul 2020,By Ludwig Burger and Pushkala Aripaka (Reuters) - AstraZeneca (L:AZN) has been granted protection from future product liability claims related to its COVID-19 vaccine hopeful by...
The AstraZeneca share price is reassuringly expensive. I’d buy it in a Stocks and Shares ISA,30 Jul 2020,"The AstraZeneca (LSE: AZN) share price has been one of the very best performers on the FTSE 100 during the Covid-19 stock market crash. Amid the global health crisis,..."
"'So far, so good' on leading COVID vaccine, says AstraZeneca",30 Jul 2020," By Pushkala Aripaka and Ludwig Burger (Reuters) - Britain's AstraZeneca (L:AZN) said on Thursday that good data was coming in so far on its vaccine for COVID-19, already in..."
'Biggest obstacle': Where can CanSino test its vaccine abroad?,30 Jul 2020," By Roxanne Liu and Miyoung Kim BEIJING/SINGAPORE (Reuters) - CanSino Biologics Inc (HK:6185), one of many companies worldwide trying to develop a coronavirus vaccine, needs to..."
UPDATE 1-UK Stocks-Factors to watch on July 30,30 Jul 2020,"July 30 (Reuters) - Britain's FTSE 100 index is seen opening 15 points higher at 6,147 on Thursday, according to financial bookmakers. SHELL: Royal Dutch Shell (RDSA.L) said its..."
Moderna vaccine protects against COVID-19 in monkey study,28 Jul 2020, By Vishwadha Chander (Reuters) -  Moderna  Inc (O:MRNA) on Tuesday said its experimental COVID-19 vaccine induced a robust immune response and protected against infection in a...
UPDATE 1-UK Stocks-Factors to watch on July 28,28 Jul 2020,"July 28 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening 16 points higher at 6,121 on Tuesday, according to financial bookmakers, with futures up 0.27% ahead of cash..."
"Moderna, Pfizer start decisive COVID-19 vaccine trials, eye year-end launches",28 Jul 2020,"By Carl O'Donnell (Reuters) -  Moderna  Inc (O:MRNA) and  Pfizer  Inc (N:PFE) launched two 30,000-subject trials of COVID-19 vaccines that could clear the way for regulatory..."
U.S. drugmaker earnings heat up this week with spotlight on vaccine news,27 Jul 2020," By Ankur Banerjee (Reuters) - Several major U.S. drugmakers will report second-quarter results this week, with investors eager for fresh details from  Pfizer  Inc (N:PFE),  Merck..."
"Exclusive: EU talks with Pfizer, Sanofi, J&J on COVID vaccines hit snags - sources",27 Jul 2020," By Francesco Guarascio and Elvira Pollina BRUSSELS/MILAN (Reuters) - European efforts to secure potential COVID-19 vaccines from  Pfizer  (N:PFE), Sanofi (PA:SASY) and Johnson &..."
Emergent signs $174 million deal to make AstraZeneca's potential COVID-19 vaccine,27 Jul 2020, (Reuters) - Emergent BioSolutions Inc (N:EBS) said on Monday it signed a $174 million (135 million pounds) agreement with AstraZeneca (L:AZN) to develop and manufacture the...
AstraZeneca bets up to $6 billion on new Daiichi cancer drug,27 Jul 2020, By Pushkala Aripaka (Reuters) - Britain's AstraZeneca (L:AZN) will pay up to $6 billion (4.6 billion pounds) to Japan's Daiichi Sankyo (T:4568) under the drugmakers' second...
UPDATE 1-UK Stocks-Factors to watch on July 27,27 Jul 2020,"July 27 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening 15 points higher at 6,139 on Monday, according to financial bookmakers, with futures up 0.1% ahead of cash..."
Moderna gets further $472 million U.S. award for coronavirus vaccine development,26 Jul 2020, (Reuters) -  Moderna  Inc (O:MRNA) said on Sunday it has received an additional $472 million (369.1 million pounds) from the U.S. government's Biomedical Advanced Research and...
AstraZeneca's lung disease treatment gets FDA nod,24 Jul 2020," By Aakash B (Reuters) - The U.S. Food and Drug Administration approved AstraZeneca's (L:AZN) drug to treat patients with a form of lung disease, the British drugmaker said on..."
UPDATE 1-UK Stocks-Factors to watch on July 24,24 Jul 2020,"July 24 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening 57 points lower at 6,155 on Friday, according to financial bookmakers. RETAIL: British retail sales grew more..."
"U.S. to pay Pfizer, BioNTech $1.95 billion for COVID-19 vaccine",22 Jul 2020, By Michael Erman and Ankur Banerjee (Reuters) - The U.S. government will pay nearly $2 billion to buy enough of a COVID-19 vaccine being developed by  Pfizer  Inc (N:PFE) and...
UPDATE 1-UK Stocks-Factors to watch on July 22,22 Jul 2020,"Britain's FTSE 100 (.FTSE) index is seen opening 1 point lower at 6,268 on Wednesday, according to financial bookmakers, with futures (FFIc1) down 0.2% ahead of cash markets..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.11%,21 Jul 2020,"Investing.com – U.K. equities were higher at the close on Tuesday, as gains in the Oil Equipment Services & Distribution, Automobiles & Parts and Oil & Gas Producers sectors..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.11%,21 Jul 2020,"Investing.com – U.K. equities were higher at the close on Tuesday, as gains in the Oil Equipment Services & Distribution, Automobiles & Parts and Oil & Gas Producers sectors..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.11%,21 Jul 2020,"Investing.com – U.K. equities were higher at the close on Tuesday, as gains in the Oil Equipment Services & Distribution, Automobiles & Parts and Oil & Gas Producers sectors..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.11%,21 Jul 2020,"Investing.com – U.K. equities were higher at the close on Tuesday, as gains in the Oil Equipment Services & Distribution, Automobiles & Parts and Oil & Gas Producers sectors..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.11%,21 Jul 2020,"Investing.com – U.K. equities were higher at the close on Tuesday, as gains in the Oil Equipment Services & Distribution, Automobiles & Parts and Oil & Gas Producers sectors..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.11%,21 Jul 2020,"Investing.com – U.K. equities were higher at the close on Tuesday, as gains in the Oil Equipment Services & Distribution, Automobiles & Parts and Oil & Gas Producers sectors..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.11%,21 Jul 2020,"Investing.com – U.K. equities were higher at the close on Tuesday, as gains in the Oil Equipment Services & Distribution, Automobiles & Parts and Oil & Gas Producers sectors..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.11%,21 Jul 2020,"Investing.com – U.K. equities were higher at the close on Tuesday, as gains in the Oil Equipment Services & Distribution, Automobiles & Parts and Oil & Gas Producers sectors..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.11%,21 Jul 2020,"Investing.com – U.K. equities were higher at the close on Tuesday, as gains in the Oil Equipment Services & Distribution, Automobiles & Parts and Oil & Gas Producers sectors..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.11%,21 Jul 2020,"Investing.com – U.K. equities were higher at the close on Tuesday, as gains in the Oil Equipment Services & Distribution, Automobiles & Parts and Oil & Gas Producers sectors..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.11%,21 Jul 2020,"Investing.com – U.K. equities were higher at the close on Tuesday, as gains in the Oil Equipment Services & Distribution, Automobiles & Parts and Oil & Gas Producers sectors..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.11%,21 Jul 2020,"Investing.com – U.K. equities were higher at the close on Tuesday, as gains in the Oil Equipment Services & Distribution, Automobiles & Parts and Oil & Gas Producers sectors..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.11%,21 Jul 2020,"Investing.com – U.K. equities were higher at the close on Tuesday, as gains in the Oil Equipment Services & Distribution, Automobiles & Parts and Oil & Gas Producers sectors..."
UPDATE 1-UK Stocks-Factors to watch on July 21,21 Jul 2020,"Britain's FTSE 100 (.FTSE) index is seen opening 6 points higher at 6,268 on Tuesday, according to financial bookmakers, with futures (FFIc1) up 0.7% ahead of cash markets..."
Equity markets rebound on EU fund optimism; gold edges higher,20 Jul 2020, By Herbert Lash NEW YORK (Reuters) - Global equity markets rebounded on Monday on optimism the European Union would approve a recovery fund to help revive regional economies hit...
FTSE 100 falls on energy losses; AstraZeneca supported by vaccine hopes,20 Jul 2020," By Ambar Warrick and Sagarika Jaisinghani (Reuters) - The British blue-chip index ended down on Monday with energy stocks tracking a decline in oil prices, while AstraZeneca..."
